Pintu Masuk,,,,,,,,,,,,,
",""Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2017 - sekarang"",,,,,,,,,,,,"
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Batam,135046,100329,132551,139361,117372,130541,122869,124044,122835,117589,124833,197347,-
Tanjung Uban,26778,21888,25445,28410,25496,34726,32234,37199,31422,32389,30822,44783,-
Tanjung Pinang,10814,6249,7849,9193,7277,8702,9793,11616,10811,10619,10538,14421,-
Tanjung Balai Karimun,8175,6022,7526,7902,6627,6433,6136,6620,7093,6368,6969,9900,-
Tanjung Benoa,8143,5799,2489,3126,3153,497,164,1988,187,2815,2847,790,-
Tanjung Mas,1790,5166,1397,2587,1378,964,1059,1163,3941,1791,4376,1461,-
Pintu Laut Lainnya,39428,41216,43069,42959,47890,51902,54724,52681,53446,50700,49685,55922,-
C. Pintu Darat,131128,116291,90301,124921,129454,146766,141001,143457,136654,136815,130653,159048,-
Jayapura,12417,7176,6523,10078,10042,10488,9053,9043,9981,10359,13651,16246,-
Atambua,4740,4017,3768,5843,2096,6238,5476,6120,6455,6167,5976,7081,-
Entikong,2091,1354,2209,1720,1935,2157,1117,1255,2042,1095,1092,2818,-
Aruk,414,511,433,539,438,1460,1087,814,802,870,809,1919,-
Nanga Badau,810,551,549,528,808,858,610,933,673,760,704,1199,-
Pintu Darat Lainnya,110656,102682,76819,106213,114135,125565,123658,125292,116701,117564,108421,129785,-
Jumlah (A+B+C),1107968,1023388,1059777,1171386,1148588,1144001,1370591,1393243,1250231,1161565,1062030,1147031,-
